epoch,rx_pkts,age_ms,remote_state
1783368212,18076,1.7,3
1783368213,18189,3.0,3
1783368214,18303,8.8,3
1783368215,18418,5.7,3
1783368216,18533,2.7,3
1783368217,18647,8.9,3
1783368218,18761,7.6,3
1783368219,18875,7.5,3
1783368220,18988,2.2,3
1783368221,19102,7.5,3
1783368222,19217,6.3,3
1783368223,19333,1.7,3
1783368224,19447,1.5,3
1783368225,19561,0.2,3
1783368226,19675,2.8,3
1783368227,19788,4.9,3
1783368228,19900,5.9,3
1783368229,20015,0.1,3
1783368230,20127,9.0,3
1783368231,20242,5.2,3
1783368232,20355,6.2,3
1783368233,20470,1.1,3
1783368234,20585,0.9,3
1783368235,20699,8.3,3
1783368236,20814,4.4,3
1783368237,20929,2.8,3
1783368238,21041,3.5,3
1783368239,21154,8.6,3
1783368240,21270,2.2,3
1783368241,21384,1.8,3
1783368242,21498,4.5,3
1783368243,21612,1.6,3
1783368244,21726,0.2,3
1783368245,21840,1.8,3
1783368246,21953,7.8,3
1783368247,22067,5.2,3
1783368248,22181,1.9,3
1783368249,22295,6.5,3
1783368250,22410,6.5,3
1783368251,22526,1.8,3
1783368252,22640,2.9,3
1783368253,22755,1.4,3
1783368254,22868,7.5,3
1783368255,22983,4.5,3
1783368256,23098,7.7,3
1783368257,23213,2.8,3
1783368258,23324,5.8,3
1783368259,23438,0.6,3
1783368260,23553,9.6,3
1783368261,23668,1.0,3
1783368262,23780,6.4,3
1783368263,23894,0.4,3
1783368264,24009,1.1,3
1783368265,24123,6.1,3
1783368266,24238,2.4,3
1783368267,24353,1.3,3
1783368268,24468,1.4,3
1783368269,24581,3.1,3
1783368270,24695,6.3,3
1783368271,24810,1.1,3
1783368272,24925,1.0,3
1783368273,25039,0.2,3
1783368274,25153,2.7,3
1783368275,25267,1.0,3
1783368276,25380,6.2,3
1783368277,25494,7.4,3
1783368278,25608,0.6,3
1783368279,25723,5.8,3
1783368280,25837,2.7,3
1783368281,25952,0.8,3
1783368282,26066,3.4,3
1783368283,26179,7.0,3
1783368284,26293,7.5,3
1783368285,26409,0.4,3
1783368286,26522,4.3,3
1783368287,26637,5.8,3
1783368288,26751,5.4,3
1783368289,26864,8.5,3
1783368290,26979,1.1,3
1783368291,27093,1.1,3
1783368292,27207,1.8,3
1783368293,27322,2.0,3
1783368294,27436,3.7,3
1783368295,27550,3.0,3
1783368296,27666,0.6,3
1783368297,27781,5.9,3
1783368298,27894,8.6,3
1783368299,28009,7.5,3
1783368300,28124,5.6,3
1783368301,28239,2.5,3
1783368302,28355,1.7,3
1783368303,28468,7.5,3
1783368304,28583,1.6,3
1783368305,28696,8.7,3
1783368306,28811,2.2,3
1783368307,28923,4.7,3
1783368308,29038,1.0,3
1783368309,29151,5.9,3
1783368310,29265,2.0,3
1783368311,29379,6.4,3
1783368312,29494,7.0,3
1783368313,29610,3.8,3
1783368314,29725,0.8,3
1783368315,29838,5.9,3
1783368316,29953,2.3,3
1783368317,30067,2.6,3
1783368318,30179,6.4,3
1783368319,30293,8.5,3
1783368320,30408,1.7,3
1783368321,30521,5.2,3
1783368322,30636,0.7,3
1783368323,30750,1.2,3
1783368324,30864,8.6,3
1783368325,30977,8.7,3
1783368326,31090,1.8,3
1783368327,31206,0.3,3
1783368328,31318,7.0,3
1783368329,31431,4.0,3
1783368330,31545,3.3,3
1783368331,31660,2.4,3
1783368332,31773,4.7,3
1783368333,31889,1.2,3
1783368334,32002,6.7,3
1783368335,32117,2.5,3
1783368336,32230,6.3,3
1783368337,32345,1.0,3
1783368338,32456,8.7,3
1783368339,32570,1.3,3
1783368340,32683,9.2,3
1783368341,32798,6.1,3
1783368342,32912,0.7,3
1783368343,33026,1.2,3
1783368344,33140,5.7,3
1783368345,33254,3.7,3
